segment length: 1355	score: 701.278


segment length: 1974	score: 716.724


segment length: 1912	score: 870.079


segment length: 2859	score: 1423.74


segment length: 1916	score: 1068.79


segment length: 1625	score: 750.658


segment length: 1662	score: 906.47


segment length: 5330	score: 2138.33


segment length: 3651	score: 1858.54


segment length: 1822	score: 1096.6


segment length: 2416	score: 905.518


segment length: 2359	score: 1035.04


segment length: 2157	score: 922.142


segment length: 2703	score: 1470.79


segment length: 4582	score: 2164.8


segment length: 1655	score: 860.376


segment length: 2077	score: 997.043


segment length: 2481	score: 1108.41


segment length: 2645	score: 1274.43


segment length: 2124	score: 1095.54


segment length: 3004	score: 1343.2


segment length: 3391	score: 1764.48


segment length: 2332	score: 1211.73


segment length: 6823	score: 2731.26


segment length: 1547	score: 1060.99


segment length: 2705	score: 1391.2


segment length: 1133	score: 718.043


segment length: 4888	score: 2010.84


segment length: 1750	score: 816.582


segment length: 6257	score: 3097.48


segment length: 6877	score: 3606.89


segment length: 5837	score: 2518.1


segment length: 3250	score: 1323.06


segment length: 1345	score: 744.728


segment length: 3524	score: 1555.56


segment length: 5231	score: 2364.22


segment length: 4540	score: 1921.32


segment length: 2159	score: 1175.83


segment length: 5436	score: 1199.6


segment length: 2552	score: 1253.58


segment length: 1700	score: 967.024


segment length: 2335	score: 985.028


segment length: 987	score: 420.682


segment length: 2501	score: 1182.83


segment length: 1274	score: 603.487


segment length: 1907	score: 831.207


segment length: 5068	score: 2274.51


segment length: 7423	score: 2342.79


segment length: 2905	score: 1070.46


segment length: 1405	score: 702.572


segment length: 1898	score: 832.186


segment length: 4020	score: 1855.86


segment length: 1901	score: 973.759


segment length: 1893	score: 823.494


segment length: 2326	score: 944.285


segment length: 2795	score: 1404.73


segment length: 1605	score: 724.422


segment length: 4679	score: 2730.36


segment length: 6891	score: 3635.99


segment length: 1337	score: 702.706


segment length: 5296	score: 2250.83


segment length: 1712	score: 687.938


segment length: 1817	score: 993.111


segment length: 1429	score: 565.486


segment length: 2540	score: 987.064


segment length: 5701	score: 2304.98


segment length: 1537	score: 741.748


segment length: 3511	score: 1896.88


segment length: 3180	score: 1555.51


segment length: 4889	score: 2370.05


segment length: 3035	score: 1706.86


segment length: 2793	score: 1197.91


segment length: 1982	score: 1028.25


segment length: 5267	score: 2650.76


segment length: 7510	score: 3834.16


segment length: 4858	score: 2208.06


segment length: 2329	score: 1220.14


segment length: 3021	score: 1334.64


segment length: 801	score: 439.128


segment length: 2776	score: 1507.16


segment length: 1127	score: 470.365


segment length: 1861	score: 909.17


segment length: 2176	score: 992.49


segment length: 3600	score: 1559.26


segment length: 4386	score: 1689.64


segment length: 5800	score: 2899.32


segment length: 867	score: 461.983


segment length: 1406	score: 470.75


segment length: 6135	score: 2562.55


segment length: 6087	score: 2734.74


segment length: 3300	score: 1827.68


segment length: 3032	score: 1404.54


segment length: 4106	score: 1875.89


segment length: 4634	score: 2284.64


segment length: 5022	score: 2290.23


segment length: 1585	score: 666.879


segment length: 3869	score: 1894.35


segment length: 1192	score: 635.057


segment length: 2180	score: 1160.41


segment length: 2696	score: 1427.24


segment length: 2031	score: 742.929


segment length: 1546	score: 720.812


segment length: 4834	score: 2281.94


segment length: 2878	score: 1295.81


segment length: 4363	score: 1699.02


segment length: 1394	score: 808.869


segment length: 2732	score: 1340.08


segment length: 3619	score: 1742.51


segment length: 879	score: 523.357


segment length: 2512	score: 883.743


segment length: 1147	score: 498.264


segment length: 5200	score: 2334.21


segment length: 2921	score: 1498.07


segment length: 2637	score: 1432.55


segment length: 1856	score: 859.128


segment length: 2274	score: 888.139


segment length: 1905	score: 949.822


segment length: 2674	score: 1161.44


segment length: 3871	score: 2010.28


segment length: 3560	score: 1425.13


segment length: 1496	score: 354.571


segment length: 4352	score: 1952.45


segment length: 1628	score: 916.393


segment length: 788	score: 400.368


segment length: 3570	score: 1822.13


segment length: 747	score: 304.045


segment length: 5031	score: 2635.8


segment length: 1094	score: 312.324


segment length: 3615	score: 1638.83


segment length: 1745	score: 766.937


segment length: 1577	score: 669.791


segment length: 2275	score: 1133.32


segment length: 3691	score: 1861.46


segment length: 2155	score: 1060.82


segment length: 2545	score: 1269.99


segment length: 2744	score: 1541.23


segment length: 4261	score: 1579.44


segment length: 1467	score: 605.761


segment length: 920	score: 540.679


segment length: 5728	score: 2677.07


segment length: 1499	score: 536.598


segment length: 4529	score: 2653.17


segment length: 764	score: 322.344


segment length: 3840	score: 1990.22


segment length: 591	score: 175.338


segment length: 3001	score: 1731.63


segment length: 3671	score: 1756.63


segment length: 3689	score: 1700.23


segment length: 1991	score: 897.118


segment length: 1589	score: 697.672


segment length: 2669	score: 1012.36


segment length: 2703	score: 1675.99


segment length: 1589	score: 641.019


segment length: 2399	score: 977.834


segment length: 2219	score: 938.73


segment length: 2546	score: 1214.02


segment length: 2580	score: 836.703
0 0 inf	1441716 1441716

625 874 30.6111	1442341 1442590


segment length: 852	score: 431.282


segment length: 2089	score: 808.971


segment length: 839	score: 416.182


segment length: 4837	score: 2107.39


segment length: 3315	score: 1357.26


segment length: 2319	score: 1013.71


segment length: 2000	score: 787.932


segment length: 3860	score: 1528.72


segment length: 3261	score: 1445.74


segment length: 992	score: 535.965


segment length: 1230	score: 429.026


segment length: 2715	score: 1288.5


segment length: 2914	score: 1463.5


segment length: 1014	score: 459.733


segment length: 4730	score: 2137.17


segment length: 2522	score: 1042.68


segment length: 1332	score: 463.283


segment length: 2978	score: 1308.9


segment length: 3473	score: 1594.69


segment length: 1675	score: 918.179


segment length: 6484	score: 3021.99


segment length: 2123	score: 1108.36


segment length: 2401	score: 1149.32


segment length: 3698	score: 1664.56


segment length: 1630	score: 645.342


segment length: 1970	score: 1009.61


segment length: 5598	score: 3136.93
5209 5790 0	1460356 1460937

0 0 inf	1455147 1455147


segment length: 2087	score: 1005.88


segment length: 3516	score: 1920.73


segment length: 3571	score: 1522.87


segment length: 4609	score: 1581.71
3847 4441 0	1460366 1460960

0 0 inf	1456519 1456519


segment length: 1914	score: 869.193


segment length: 2225	score: 946.777


segment length: 5380	score: 1209.9
2504 3049 0	1460360 1460905

0 0 inf	1457856 1457856


segment length: 1526	score: 818.812


segment length: 1025	score: 428.835


segment length: 1978	score: 494.266
1157 1778 0	1460358 1460979

0 0 inf	1459201 1459201


segment length: 6401	score: 2265.48
505 1107 0	1460358 1460960

0 0 inf	1459853 1459853


segment length: 5813	score: 2307.1


segment length: 1643	score: 754.377


segment length: 2138	score: 814.327


segment length: 1439	score: 577.602


segment length: 1387	score: 643.501


segment length: 1133	score: 416.357


segment length: 4210	score: 2085.34


segment length: 2129	score: 942.252


segment length: 1679	score: 697.079


segment length: 1416	score: 638.381


segment length: 3078	score: 1248.93


segment length: 874	score: 418.242


segment length: 1301	score: 363.379


segment length: 2797	score: 890.25


segment length: 1726	score: 897.97


segment length: 2299	score: 944.441


segment length: 747	score: 360.462


segment length: 5592	score: 3033.95


segment length: 4003	score: 1488.09


segment length: 3141	score: 1287.08


segment length: 3719	score: 1563.48


segment length: 1632	score: 764.336


segment length: 2374	score: 956.663


segment length: 3290	score: 1703.38


segment length: 2441	score: 1302.99


segment length: 1797	score: 739.125


segment length: 2755	score: 958.945


segment length: 3091	score: 1513.92


segment length: 1362	score: 666.488


segment length: 1559	score: 580.114


segment length: 2314	score: 1280.19


segment length: 3360	score: 1311.99


segment length: 4078	score: 1657.79


segment length: 3177	score: 1391.53


segment length: 4027	score: 1590.07


segment length: 2628	score: 1484.21


segment length: 1076	score: 569.341


segment length: 5522	score: 2238.51


segment length: 2479	score: 1051.71


segment length: 2817	score: 1256.2


segment length: 718	score: 327.61


segment length: 6760	score: 2295.72


segment length: 1391	score: 806.693


segment length: 4450	score: 1731.54


segment length: 4388	score: 1344.73


segment length: 2720	score: 1174.66


segment length: 4762	score: 2202.88


segment length: 4294	score: 1772.81


segment length: 1807	score: 843.887


segment length: 1558	score: 852.626


segment length: 720	score: 230.702


segment length: 1679	score: 930.518


segment length: 2865	score: 1157.21


segment length: 805	score: 376.329


segment length: 2793	score: 1274.1


segment length: 1782	score: 717.594


segment length: 1676	score: 810.592


segment length: 1901	score: 862.685


segment length: 8197	score: 2630.97


segment length: 2680	score: 1217.55


segment length: 568	score: 219.91


segment length: 3116	score: 1255


segment length: 2358	score: 1061.43


segment length: 1230	score: 380.988


segment length: 1423	score: 877.722


segment length: 4837	score: 2240.48


segment length: 5199	score: 2399.29


segment length: 3274	score: 1381.33


segment length: 3605	score: 2088.88


segment length: 4451	score: 2035.39


segment length: 3889	score: 1417.99


segment length: 4469	score: 1980.77


segment length: 7557	score: 3642.95


segment length: 2341	score: 798.516


segment length: 6202	score: 3109.55


segment length: 1152	score: 464.965


segment length: 1502	score: 593.733


segment length: 2382	score: 1382.33


segment length: 2398	score: 1153.26


segment length: 3068	score: 1304.38


segment length: 3500	score: 1833.98


segment length: 894	score: 431.657


segment length: 3429	score: 1628.46


segment length: 631	score: 320.068


segment length: 8308	score: 3689.77


segment length: 4644	score: 2137.62


segment length: 2332	score: 1097.9


segment length: 3838	score: 2052.17


segment length: 2514	score: 1075.53


segment length: 6042	score: 2648.66


segment length: 1833	score: 758.654


segment length: 1907	score: 858.13


segment length: 1142	score: 566.103


segment length: 2864	score: 1461.92


segment length: 4675	score: 2581.82


segment length: 4167	score: 1945.17


segment length: 6497	score: 2705.54


segment length: 1785	score: 955.899


segment length: 3191	score: 1405.17


segment length: 1638	score: 876.265


segment length: 3771	score: 2048.98


segment length: 1174	score: 436.685


segment length: 5774	score: 2577.63


segment length: 3138	score: 1754.51


segment length: 1726	score: 789.931


segment length: 2937	score: 1261.2


segment length: 2267	score: 1042.55


segment length: 3168	score: 1446.39


segment length: 1772	score: 716.125


segment length: 1147	score: 485.362


segment length: 4832	score: 1835.35
7320 7718 0	1529599 1529997

3325 4074 29.2189	1525604 1526353


segment length: 1132	score: 731.529


segment length: 923	score: 289.203


segment length: 2587	score: 754.86
3172 4254 0.48914	1526871 1527953

0 0 inf	1523699 1523699


segment length: 1476	score: 592.451


segment length: 2674	score: 480.191
0 0 inf	1523884 1523884

850 1599 26.3403	1524734 1525483


segment length: 2441	score: 618.926
2796 3686 3.02396	1526871 1527761

675 1399 28.9343	1524750 1525474


segment length: 5051	score: 1962.26


segment length: 1060	score: 459.701


segment length: 3924	score: 1925.87


segment length: 1764	score: 927.94


segment length: 1479	score: 420.383


segment length: 3455	score: 1550.09


segment length: 2336	score: 1154.18


segment length: 2662	score: 984.918


segment length: 2744	score: 1294.2


segment length: 4005	score: 1782.87


segment length: 1540	score: 633.312


segment length: 3925	score: 894.209


segment length: 1199	score: 649.953


segment length: 1964	score: 821.03


segment length: 1866	score: 931.753


segment length: 1668	score: 1014.55


segment length: 2200	score: 1071.68


segment length: 916	score: 431.198


segment length: 1750	score: 506.184


segment length: 1334	score: 482.485


segment length: 1796	score: 972.137


segment length: 5570	score: 2261.8


segment length: 1837	score: 978.173


segment length: 3435	score: 1785.43


segment length: 2440	score: 1317.71


segment length: 2510	score: 1346.59


segment length: 6843	score: 3289.4


segment length: 1676	score: 839.619


segment length: 1481	score: 648.303


segment length: 2129	score: 1108.36


segment length: 2246	score: 913.081


segment length: 2676	score: 1300.28


segment length: 1620	score: 820.268


segment length: 2477	score: 1110.12


segment length: 4170	score: 2194.96


segment length: 1755	score: 572.104


segment length: 2644	score: 1098.37


segment length: 2804	score: 611.967


segment length: 1740	score: 740.571


segment length: 1290	score: 571.049


segment length: 1286	score: 538.073


segment length: 2580	score: 1385.37


segment length: 3255	score: 1270.62


segment length: 1506	score: 805.169


segment length: 1856	score: 762.849


segment length: 3236	score: 1305.85


segment length: 8362	score: 4762.82


segment length: 4573	score: 2182.29


segment length: 3539	score: 1365.36


segment length: 2679	score: 1287.1


segment length: 2170	score: 1179.51


segment length: 4750	score: 2008.29


segment length: 1685	score: 719.864


segment length: 1273	score: 339.784


segment length: 1058	score: 393.808


segment length: 2486	score: 1295.36


segment length: 4889	score: 2374.88


segment length: 2863	score: 1261.02


segment length: 744	score: 313.514


segment length: 3703	score: 1736.74


segment length: 3611	score: 1262.82


segment length: 7835	score: 4122.63


segment length: 1172	score: 637.724


segment length: 1853	score: 774.419


segment length: 4359	score: 1927.04


segment length: 6789	score: 2391.37


segment length: 1008	score: 490.762


segment length: 1719	score: 735.631


segment length: 835	score: 440.783


segment length: 2760	score: 1468.08


segment length: 1402	score: 707.763


segment length: 3590	score: 1623.31


segment length: 1385	score: 699.977


segment length: 1529	score: 687.586


segment length: 1719	score: 864.279


segment length: 566	score: 183.409


segment length: 1688	score: 843.123


segment length: 5157	score: 2569.43


segment length: 2365	score: 1369.35


segment length: 805	score: 463.899


segment length: 2738	score: 1249.37


segment length: 4210	score: 2098.22


segment length: 2724	score: 1151.8


segment length: 2580	score: 1246.77


segment length: 4094	score: 2019.56


segment length: 3236	score: 1392.34


segment length: 2831	score: 1235.89


segment length: 9554	score: 3499.89


segment length: 4642	score: 1985.35


segment length: 3177	score: 1548.43


segment length: 2684	score: 1022.66


segment length: 2707	score: 1558.15


segment length: 1667	score: 749.381


segment length: 2249	score: 1074.87


segment length: 1787	score: 1050.48


segment length: 2652	score: 1423.64


segment length: 1258	score: 360.83


segment length: 1406	score: 531.669


segment length: 7493	score: 3250.44


segment length: 2395	score: 1258


segment length: 2797	score: 1517.28


segment length: 2213	score: 935.111


segment length: 1925	score: 1080.13


segment length: 1363	score: 593.032


segment length: 3180	score: 951.946


segment length: 1998	score: 995.703


segment length: 1249	score: 609.754


segment length: 4051	score: 1790.37


segment length: 4016	score: 1428.85


segment length: 1286	score: 645.06


segment length: 2842	score: 1249.94


segment length: 2604	score: 1410.39


segment length: 2574	score: 1133.27


segment length: 1501	score: 899.736


segment length: 1026	score: 456.147


segment length: 1439	score: 887.814


segment length: 2503	score: 773.48


segment length: 3507	score: 1215.75


segment length: 1972	score: 1128.34


segment length: 2688	score: 1637.54


segment length: 1649	score: 715.384


segment length: 2201	score: 1200.54


segment length: 3305	score: 1734.57


segment length: 2863	score: 1264.92


segment length: 6431	score: 2772.78


segment length: 3392	score: 1427.42


segment length: 2880	score: 1414.39


segment length: 3246	score: 1722.61


segment length: 2031	score: 995.102


segment length: 2841	score: 1451.01


segment length: 1430	score: 632.78


segment length: 4728	score: 2090.14


segment length: 5135	score: 2504.87


segment length: 1234	score: 543.333


segment length: 3131	score: 1290.18


segment length: 958	score: 552.971


segment length: 2228	score: 1204.58


segment length: 1795	score: 887.516


segment length: 979	score: 462.871


segment length: 3065	score: 1642.55


segment length: 2790	score: 1062.63


segment length: 1288	score: 577.656


segment length: 3029	score: 1213.87


segment length: 3366	score: 1194.11


segment length: 1908	score: 835.108


segment length: 1896	score: 635.446


segment length: 2838	score: 1338.75


segment length: 1970	score: 854.167


segment length: 1971	score: 1003.66


segment length: 2399	score: 1082.52


segment length: 1445	score: 611.091


segment length: 1994	score: 309.908


segment length: 2567	score: 1246.99


segment length: 5154	score: 2677.9


segment length: 2429	score: 1177.39


segment length: 4257	score: 2294.26


segment length: 6867	score: 3599.57


segment length: 2108	score: 882.84


segment length: 739	score: 480.734


segment length: 748	score: 343.633


segment length: 1412	score: 676.632


segment length: 1829	score: 813.524


segment length: 2973	score: 1277.47


segment length: 5216	score: 2590.44


segment length: 1228	score: 497.746


segment length: 2358	score: 1229.96


segment length: 2240	score: 953.079


segment length: 3807	score: 1592.21


segment length: 1794	score: 873.12


segment length: 2601	score: 1156.68


segment length: 3751	score: 1872.31


segment length: 2688	score: 1447.98


segment length: 2813	score: 1162.93


segment length: 4322	score: 2216.94


segment length: 3331	score: 1585.29


segment length: 3643	score: 1707.3


segment length: 1825	score: 854.375


segment length: 996	score: 392.484


segment length: 2270	score: 965.18


segment length: 2558	score: 1102.66


segment length: 4435	score: 2380.85


segment length: 3902	score: 1489.67


segment length: 3113	score: 1777.28


segment length: 1603	score: 833.089


segment length: 3307	score: 1573.26


segment length: 5831	score: 2455.16


segment length: 2816	score: 1494.58


segment length: 4714	score: 2366.06


segment length: 1247	score: 609.529


segment length: 932	score: 428.996


segment length: 2860	score: 1161.31


segment length: 1787	score: 624.256


segment length: 1943	score: 988.812


segment length: 3525	score: 1476.11


segment length: 1754	score: 608.167


segment length: 2668	score: 1090.21


segment length: 3206	score: 1082.01


segment length: 1605	score: 707.66


segment length: 1763	score: 851.46


segment length: 2019	score: 879.898


segment length: 6035	score: 2944.6


segment length: 3065	score: 1343.8


segment length: 638	score: 319.535


segment length: 1139	score: 648.783


segment length: 1500	score: 822.054


segment length: 3041	score: 1717.97


segment length: 940	score: 464.37


segment length: 4183	score: 1745.96


segment length: 4214	score: 2223.89


segment length: 5250	score: 2410.73


segment length: 3345	score: 1733.9


segment length: 3558	score: 1536.25


segment length: 1303	score: 625.444


segment length: 1712	score: 847.707


segment length: 1650	score: 544.484


segment length: 3876	score: 1464.22


segment length: 2060	score: 791.073


segment length: 1502	score: 786.68


segment length: 5366	score: 1847.47


segment length: 3717	score: 1651.31


segment length: 1050	score: 568.961


segment length: 1198	score: 613.536


segment length: 3610	score: 1602.44


segment length: 1451	score: 497.05


segment length: 1791	score: 840.016


segment length: 3198	score: 1360.05


segment length: 1096	score: 441.749


segment length: 2917	score: 1324.8


segment length: 2443	score: 1255.79


segment length: 1221	score: 637.817


segment length: 1762	score: 844.651


segment length: 3669	score: 1655.51


segment length: 1745	score: 630.08


segment length: 1425	score: 634.361


segment length: 2493	score: 1075.11


segment length: 1875	score: 1072.82


segment length: 2060	score: 808.882


segment length: 2124	score: 1074.26


segment length: 2399	score: 1134.02


segment length: 1317	score: 682.613


segment length: 5363	score: 2521.43


segment length: 4081	score: 1787.87


segment length: 5772	score: 2965.99


segment length: 3980	score: 1615.89


segment length: 2010	score: 999.394


segment length: 2190	score: 1090.6


segment length: 2015	score: 1083.58


segment length: 802	score: 469.783


segment length: 1286	score: 662.153


segment length: 1109	score: 465.412


segment length: 3789	score: 1878.62


segment length: 1720	score: 936.929


segment length: 3457	score: 1385.21
3688 4713 0	1668843 1669868

0 0 inf	1665155 1665155


segment length: 4033	score: 1236.45
2640 2930 0	1667851 1668141

0 0 inf	1665211 1665211


segment length: 3669	score: 989.435
2282 2595 0	1667834 1668147

0 0 inf	1665552 1665552


segment length: 1695	score: 841.773


segment length: 911	score: 486.35


segment length: 1950	score: 487.414
858 1164 0	1667848 1668154

0 0 inf	1666990 1666990


segment length: 3234	score: 1570.98


segment length: 1989	score: 839.233


segment length: 1479	score: 770.238


segment length: 2324	score: 1118.02


segment length: 1315	score: 518.737


segment length: 3152	score: 1493.66


segment length: 1556	score: 942.87


segment length: 3639	score: 1828.39


segment length: 1370	score: 595.819


segment length: 7609	score: 3084.62


segment length: 3095	score: 1482.27


segment length: 7682	score: 4334.03


segment length: 4343	score: 2277.86


segment length: 3755	score: 1619.76


segment length: 4440	score: 2331.71


segment length: 2785	score: 1446.13


segment length: 3100	score: 1820.34


segment length: 1542	score: 849.432


segment length: 3516	score: 1761.39


segment length: 9402	score: 4862.79


segment length: 3830	score: 1749.18


segment length: 5931	score: 3028.33


segment length: 2345	score: 862.418


segment length: 1039	score: 666.275


segment length: 5396	score: 2457.76


segment length: 410	score: 156.888


segment length: 4255	score: 2294.33


segment length: 5158	score: 2329.11


segment length: 1994	score: 1002.68


segment length: 1265	score: 655.891


segment length: 2788	score: 1364.91


segment length: 2725	score: 1255.35


segment length: 4727	score: 2160.6


segment length: 2496	score: 1210.57


segment length: 522	score: 214.019


segment length: 2297	score: 1108.09


segment length: 3398	score: 1510.48


segment length: 2009	score: 863.3


segment length: 1841	score: 813.623


segment length: 1998	score: 1084.06


segment length: 4346	score: 2247.75


segment length: 945	score: 450.088


segment length: 2823	score: 1362.47


segment length: 757	score: 434.9


segment length: 1492	score: 636.26


segment length: 1696	score: 836.963


segment length: 2953	score: 1578.3


segment length: 4235	score: 1795.67


segment length: 2966	score: 1681.31


segment length: 972	score: 429.773


segment length: 3889	score: 2202.39


segment length: 3648	score: 1973.78


segment length: 1097	score: 681.722


segment length: 1850	score: 716.449


segment length: 4560	score: 2398.84


segment length: 502	score: 258.982


segment length: 8122	score: 3995.66


segment length: 3482	score: 1748.26


segment length: 3141	score: 1631.45


segment length: 2605	score: 1362.15


segment length: 781	score: 286.269


segment length: 2249	score: 1189.99


segment length: 3129	score: 1479.47


segment length: 2221	score: 1096.17


segment length: 1977	score: 783.59


segment length: 1708	score: 686.936


segment length: 1907	score: 738.084


segment length: 1532	score: 575.67


segment length: 2610	score: 680.916
0 0 inf	1709652 1709652

1825 1949 27.4187	1711477 1711601


segment length: 6397	score: 2931.51


segment length: 1721	score: 640.128


segment length: 1983	score: 619.36


segment length: 3801	score: 1988.12


segment length: 2484	score: 1473.22


segment length: 6777	score: 3340.97


segment length: 1602	score: 603.928


segment length: 7202	score: 3684.2


segment length: 2822	score: 1359.82


segment length: 2050	score: 968.387


segment length: 5874	score: 2272.84


segment length: 1781	score: 701.162


segment length: 1410	score: 397.919


segment length: 2251	score: 1028.05


segment length: 1153	score: 438.8


segment length: 5144	score: 2869.29


segment length: 2029	score: 906.294


segment length: 1785	score: 767.877


segment length: 5368	score: 2829.62


segment length: 2762	score: 1684.86


segment length: 2994	score: 1660.08


segment length: 4364	score: 1876.73


segment length: 4583	score: 2203.92


segment length: 3284	score: 1702.9


segment length: 1633	score: 761.942


segment length: 2122	score: 1031.49


segment length: 5993	score: 2763.08


segment length: 3032	score: 1372.98


segment length: 2307	score: 1072.74


segment length: 6268	score: 2664.28


segment length: 4225	score: 1852.59


segment length: 2328	score: 1088.08


segment length: 2682	score: 1214.27


segment length: 4586	score: 2244.74


segment length: 2412	score: 1028.01


segment length: 2887	score: 1495.77


segment length: 4653	score: 2473.8


segment length: 2541	score: 1266.07


segment length: 943	score: 388.793


segment length: 5300	score: 2617


segment length: 3761	score: 2511.96


segment length: 7136	score: 4184.72


segment length: 3557	score: 1378.97


segment length: 1384	score: 672.237


segment length: 1599	score: 887.244


segment length: 426	score: 182.493


segment length: 3159	score: 2200.64


segment length: 6199	score: 3035.69


segment length: 2063	score: 998.183


segment length: 1973	score: 711.708


segment length: 3487	score: 2063.08


segment length: 7601	score: 2869.75


segment length: 5407	score: 2114.85


segment length: 2967	score: 1552.71


segment length: 3056	score: 1731.59


segment length: 2557	score: 1092.47


segment length: 532	score: 253.853


segment length: 5623	score: 2539.18


segment length: 1975	score: 1032.33


segment length: 622	score: 303.084


segment length: 2586	score: 1303.17


segment length: 6720	score: 3028.73


segment length: 3716	score: 1814.73


segment length: 1737	score: 736.949


segment length: 2776	score: 1438.63


segment length: 2520	score: 1060.75


segment length: 2975	score: 1204


segment length: 2634	score: 1014.35


segment length: 3077	score: 1398.55


segment length: 2542	score: 1090.44


segment length: 748	score: 293.542


segment length: 3596	score: 1658.15


segment length: 2818	score: 1360.64


segment length: 1516	score: 673.761


segment length: 1633	score: 703.435


segment length: 1981	score: 816.576


segment length: 6747	score: 3363.46


segment length: 2629	score: 1445.07


segment length: 865	score: 409.487


segment length: 1577	score: 859.747


segment length: 1058	score: 483.352


segment length: 619	score: 204.862


segment length: 4700	score: 2383.19


segment length: 1853	score: 884.191


segment length: 2540	score: 1253.75


segment length: 4501	score: 2036.44


segment length: 3049	score: 1539.68


segment length: 5690	score: 1405.79


segment length: 3566	score: 1729.1


segment length: 1504	score: 765.716


segment length: 799	score: 357.439


segment length: 1173	score: 323.344


segment length: 2752	score: 1382.35


segment length: 1101	score: 630.544


segment length: 2280	score: 1128.27


segment length: 3331	score: 952.297


segment length: 524	score: 244.444


segment length: 1613	score: 387.819


segment length: 5203	score: 2571.76


segment length: 4537	score: 2282.24


segment length: 2236	score: 1093.38


segment length: 3038	score: 1318.46


segment length: 2132	score: 733.202


segment length: 3896	score: 1394.17


segment length: 2082	score: 1067.54


segment length: 2400	score: 1025.94


segment length: 3580	score: 1663.49


segment length: 3637	score: 1212.64


segment length: 2839	score: 1606.72


segment length: 1717	score: 835.777


segment length: 4013	score: 2061.59


segment length: 4786	score: 2086.64


segment length: 4619	score: 2944.67


segment length: 5867	score: 2125.53
4995 5650 0	1767692 1768347

0 0 inf	1762697 1762697


segment length: 7694	score: 2383.51
4624 5205 0	1767746 1768327

0 0 inf	1763122 1763122


segment length: 976	score: 588.099


segment length: 989	score: 379.528


segment length: 4196	score: 2083.28


segment length: 1936	score: 845.293


segment length: 2988	score: 1410.63


segment length: 4669	score: 1756.14


segment length: 3037	score: 1680.5


segment length: 2437	score: 1110.78


segment length: 2395	score: 1337.42


segment length: 525	score: 216.35


segment length: 1317	score: 611.18


segment length: 1613	score: 675.454


segment length: 9130	score: 3382.19


